Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/local,200,25,1800.0,2224.832600584978,702.7474699998493,4476.51872500046,15229.25,0.6390418282728695,0.07988022853410869,2000,2600,2800,2900,4400,4400,4500,4500,4500,4500,4500
GET,/hotel_0,303,0,16000.0,16504.106064838288,11.250131999986479,45802.562484999726,4435893.04290429,0.9681483698333974,0.0,16000,22000,27000,29000,33000,38000,42000,43000,46000,46000,46000
GET,/hotel_1,310,36,14000.0,16041.476545209707,3.9313639999818406,54327.57746900006,4191870.9032258065,0.9905148338229478,0.11502752908911651,14000,22000,27000,30000,34000,39000,41000,44000,54000,54000,54000
GET,/hotel_2,293,0,16000.0,17277.79036269967,7.647627000551438,53775.64583599997,4728599.614334471,0.9361962784197538,0.0,16000,24000,27000,30000,36000,38000,43000,47000,54000,54000,54000
GET,/hotel_3,282,0,17000.0,17640.70573092195,15.872824000325636,61410.56922000007,4957677.921985815,0.901048977864746,0.0,17000,24000,28000,29000,35000,39000,46000,51000,61000,61000,61000
GET,/hotel_4,320,0,13000.0,15435.975602600029,10.581307999927958,50123.874992999845,4809862.478125,1.0224669252365912,0.0,13000,21000,27000,29000,34000,37000,40000,42000,50000,50000,50000
GET,/hotel_5,315,34,14000.0,15709.815458488878,8.14031400022941,51861.161189000086,4248692.066666666,1.0064908795297696,0.10863711080638783,14000,20000,26000,28000,35000,39000,42000,44000,52000,52000,52000
GET,/hotel_6,305,33,14000.0,16286.769122793406,3.9856969997345004,56700.51834500009,4720515.875409836,0.974538788116126,0.10544190166502347,14000,21000,25000,28000,34000,38000,42000,49000,57000,57000,57000
GET,/hotel_7,439,247,7600.0,10553.049805022749,3.825271999630786,56428.72664399965,1876683.3758542142,1.4026968130589486,0.7892166579169939,7600,11000,13000,18000,28000,34000,38000,42000,56000,56000,56000
GET,/hotel_8,405,202,8300.0,11739.951323516043,7.315994999771647,42825.322255000174,2415627.6592592592,1.2940597022525608,0.6454322465555983,8300,12000,17000,21000,29000,34000,38000,40000,43000,43000,43000
GET,/hotel_9,509,347,6800.0,8888.302998387026,4.188933000477846,54638.85428899994,1289616.4184675836,1.626361452954453,1.1087375720534287,6800,9200,11000,12000,21000,30000,38000,41000,55000,55000,55000
,Aggregated,3681,924,9200.0,13372.133659463445,3.825271999630786,61410.56922000007,3315948.269491986,11.761564849362165,2.9523732466206574,9200,17000,22000,25000,33000,37000,41000,44000,56000,61000,61000
